Date,Away Team,Home Odds,Draw Odds,Away Odds
20150106,12,2.4,3.74,2.65
20150106,25,3.36,3.94,1.96
20150106,14,3.35,3.88,1.97
20150106,9,1.64,4.3,4.45
20150106,20,2.01,3.89,3.26
20150106,28,2.13,3.78,3.04
20150106,27,1.77,4.14,3.86
20150106,7,2.4,3.74,2.65
20150106,16,1.76,4.07,3.99
20150106,18,2.26,3.75,2.82
20150105,28,2.45,3.66,2.62
20150104,12,3.71,4.01,1.83
20150104,22,2.02,3.76,3.29
20150104,5,1.74,4.16,4.02
20150104,20,1.9,3.9,3.55
20150104,7,3.09,3.85,2.07
20150104,15,1.99,3.76,3.36
20150104,24,2.87,3.71,2.23
20150103,14,2.22,3.73,2.89
20150103,25,2.31,3.73,2.75
20150103,20,2.51,3.72,2.53
20150103,8,2.05,3.83,3.19
20150103,4,2.4,3.63,2.7
20150103,16,1.47,4.7,5.95
20150103,13,2.06,3.76,3.21
20150103,11,1.95,3.91,3.42
20150103,22,2.25,3.71,2.86
20150103,18,1.87,3.93,3.68
20150102,14,2.15,3.79,2.96
20150102,12,2.6,3.76,2.41
20150102,2,1.81,4.0,3.83
20150102,11,2.08,3.89,3.07
20150102,15,2.98,3.76,2.16
20150102,4,2.56,3.72,2.48
20150102,13,2.98,3.71,2.16
20150102,7,2.27,3.84,2.75
20150101,29,2.33,3.74,2.74
20150101,21,2.95,3.72,2.19
20141231,2,1.76,4.08,4.03
20141231,4,2.33,3.77,2.7
20141231,28,2.07,3.75,3.17
20141231,17,1.9,3.89,3.56
20141231,6,1.79,3.94,3.95
20141231,11,1.87,3.83,3.52
20141231,8,2.48,3.63,2.53
20141231,27,1.74,3.98,3.97
20141231,7,3.94,4.03,1.78
20141231,0,3.07,3.63,2.1
20141231,12,2.57,3.69,2.49
20141230,26,2.09,3.7,3.17
20141230,29,3.66,3.93,1.86
20141230,14,2.14,3.69,3.05
20141230,13,2.49,3.58,2.59
20141229,4,2.59,3.66,2.48
20141229,29,2.92,3.68,2.22
20141229,22,2.02,3.71,3.32
20141229,0,2.67,3.66,2.41
20141229,9,1.88,3.89,3.65
20141229,8,2.22,3.77,2.96
20141229,16,1.74,4.02,4.11
20141229,11,1.78,4.06,3.88
20141229,25,2.29,3.61,2.85
20141229,13,2.96,3.66,2.21
20141229,1,3.11,3.78,2.08
20141229,19,2.22,3.76,2.87
20141228,26,2.13,3.8,3.0
20141228,11,2.34,3.72,2.72
20141227,2,1.85,3.96,3.66
20141227,28,2.16,3.69,3.03
20141227,21,3.33,3.88,1.99
20141227,10,3.27,3.81,2.02
20141227,4,1.86,3.94,3.66
20141227,5,1.94,3.91,3.42
20141227,19,2.01,3.84,3.29
20141227,12,3.94,4.04,1.78
20141227,24,3.0,3.82,2.12
20141227,3,2.11,3.73,3.11
20141227,6,1.76,4.04,4.01
20141227,25,2.79,3.66,2.31
20141227,27,1.69,4.24,4.23
20141223,3,1.7,4.2,4.2
20141223,14,3.1,3.74,2.1
20141223,17,2.28,3.74,2.81
20141223,16,1.51,4.56,5.41
20141223,1,2.17,3.81,2.92
20141223,22,2.12,3.76,3.06
20141223,11,2.17,3.86,2.89
20141223,4,1.83,3.96,3.75
20141223,27,2.06,3.71,3.23
20141223,13,2.14,3.77,2.98
20141223,19,2.03,3.78,3.29
20141222,23,1.78,3.95,4.03
20141222,28,2.31,3.7,2.78
20141222,17,1.76,4.13,3.95
20141222,1,3.08,3.73,2.12
20141222,22,3.16,3.83,2.05
20141222,18,1.85,4.0,3.65
20141221,4,1.99,3.9,3.3
20141221,16,1.52,4.53,5.49
20141221,11,1.71,4.2,4.05
20141221,27,1.68,4.11,4.36
20141221,9,1.73,4.2,4.0
20141221,5,3.09,3.85,2.07
20141220,14,2.31,3.66,2.8
20141220,23,1.86,3.89,3.66
20141220,22,2.32,3.68,2.79
20141220,9,2.86,3.77,2.23
20141220,0,3.24,3.75,2.04
20141220,21,3.44,3.98,1.9
20141220,18,1.82,3.95,3.83
20141220,19,2.95,3.63,2.23
20141220,7,2.18,3.83,2.88
