team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
MTL,2016,MTL,2016021068,13,18,0,20170319,Team Level,all,0.6257,0.5478,0.5465,3600.0,33.384,2.372,2.167,8.27,1.13,18.496,14.565,2.328,2.36,2.316,37.0,10.0,16.0,63.0,4.0,1.0,1.0,9.0,1.0,15.0,17.0,33.0,43.0,7.0,17.0,35.0,29.0,7.0,15.0,39.0,5.0,3.0,1.034,0.589,0.749,3.0,0.0,1.0,64.568,47.0,48.163,15.0,0.457,0.334,0.334,2.496,2.481,2.438,27.601,1.419,1.601,7.07,0.931,15.235,12.744,1.41,1.431,1.422,31.0,8.0,13.0,52.0,1.0,1.0,0.0,9.0,1.0,14.0,13.0,30.0,38.0,8.0,19.0,27.0,49.0,7.0,13.0,34.0,5.0,0.0,0.745,0.674,0.0,0.0,1.0,0.0,50.878,39.0,38.369,12.0,0.344,0.132,0.132,1.631,1.65,1.639,0
CGY,2016,CGY,2016021069,23,29,0,20170319,Team Level,all,0.5788,0.5104,0.5,3600.0,23.295,2.592,1.533,5.035,0.743,13.469,10.628,2.562,2.598,2.567,24.0,10.0,15.0,49.0,5.0,1.0,0.0,4.0,0.0,15.0,9.0,19.0,29.0,4.0,8.0,31.0,20.0,7.0,11.0,21.0,11.0,2.0,0.495,1.241,0.856,2.0,2.0,1.0,50.38,34.0,34.788,5.0,0.331,0.158,0.158,2.765,2.769,2.754,24.281,1.886,1.631,5.96,0.815,13.468,10.241,1.835,1.875,1.824,21.0,13.0,13.0,47.0,2.0,2.0,0.0,6.0,1.0,9.0,14.0,19.0,32.0,4.0,8.0,23.0,12.0,13.0,8.0,28.0,4.0,2.0,0.663,0.578,0.646,1.0,1.0,0.0,44.935,34.0,32.994,6.0,0.362,0.258,0.258,1.99,1.98,1.963,0
TOR,2016,TOR,2016021070,11,24,0,20170320,Team Level,all,0.5316,0.4922,0.4902,3600.0,36.156,4.155,2.191,9.018,1.274,19.313,14.048,3.826,4.085,3.757,30.0,20.0,13.0,63.0,4.0,4.0,0.0,4.0,2.0,9.0,27.0,26.0,46.0,3.0,6.0,27.0,20.0,11.0,8.0,34.0,12.0,4.0,1.147,1.32,1.688,2.0,0.0,2.0,61.43,50.0,48.83,5.0,0.516,0.906,0.906,3.765,3.692,3.457,38.895,3.661,2.299,9.733,1.275,20.093,14.939,3.279,3.753,3.369,34.0,18.0,13.0,65.0,2.0,5.0,1.0,5.0,3.0,13.0,24.0,32.0,50.0,5.0,10.0,35.0,26.0,7.0,7.0,40.0,7.0,5.0,1.137,0.856,1.668,0.0,1.0,1.0,66.946,52.0,53.43,5.0,0.496,1.398,1.398,2.758,2.863,2.806,0
BUF,2016,BUF,2016021071,16,25,1,20170320,Team Level,all,0.496,0.4454,0.4624,3600.0,30.889,3.0,1.921,6.666,0.974,16.856,13.582,2.871,3.155,3.02,30.0,13.0,10.0,53.0,2.0,1.0,0.0,5.0,0.0,22.0,13.0,28.0,41.0,4.0,8.0,29.0,25.0,5.0,4.0,32.0,9.0,2.0,0.906,0.959,1.135,0.0,0.0,2.0,57.028,43.0,46.356,3.0,0.424,0.115,0.115,3.31,3.485,3.342,37.302,3.048,2.88,8.001,1.146,20.986,13.939,2.961,2.872,2.79,35.0,15.0,16.0,66.0,1.0,2.0,0.0,14.0,1.0,14.0,18.0,34.0,49.0,2.0,4.0,34.0,21.0,3.0,6.0,36.0,10.0,4.0,1.082,1.123,0.843,0.0,0.0,1.0,62.06,50.0,46.954,1.0,0.639,0.283,0.489,3.198,3.013,2.951,0
ARI,2016,ARI,2016021072,17,22,1,20170320,Team Level,all,0.3999,0.4273,0.4483,3600.0,28.909,2.23,1.787,6.325,0.863,15.865,11.929,2.183,2.235,2.188,26.0,13.0,8.0,47.0,1.0,0.0,0.0,6.0,1.0,14.0,17.0,25.0,38.0,2.0,7.0,20.0,17.0,5.0,6.0,33.0,5.0,1.0,0.995,0.708,0.528,0.0,0.0,1.0,45.634,39.0,38.359,5.0,0.382,0.0,0.0,2.613,2.619,2.567,34.021,3.346,2.258,7.281,1.074,19.426,14.616,3.287,3.322,3.263,31.0,17.0,15.0,63.0,3.0,0.0,0.0,6.0,2.0,17.0,20.0,28.0,45.0,3.0,9.0,36.0,10.0,5.0,7.0,36.0,9.0,3.0,1.064,1.047,1.234,2.0,0.0,1.0,65.18,48.0,49.006,3.0,0.47,0.0,0.0,3.815,3.788,3.722,0
DAL,2016,DAL,2016021073,5,28,0,20170320,Team Level,all,0.4165,0.4098,0.4,3600.0,23.558,1.933,1.862,5.233,0.833,14.286,9.853,1.885,1.889,1.842,20.0,14.0,16.0,50.0,1.0,1.0,0.0,4.0,2.0,11.0,15.0,19.0,33.0,2.0,4.0,28.0,25.0,9.0,14.0,23.0,11.0,0.0,0.659,1.274,0.0,0.0,1.0,0.0,49.58,34.0,33.838,9.0,0.4,0.06,0.06,2.274,2.223,2.167,34.701,2.708,2.347,8.597,1.273,20.858,15.217,2.621,2.784,2.694,30.0,21.0,21.0,72.0,0.0,4.0,0.0,5.0,1.0,23.0,18.0,30.0,51.0,2.0,4.0,26.0,9.0,7.0,6.0,38.0,12.0,1.0,1.079,1.292,0.337,0.0,0.0,0.0,72.331,51.0,51.084,4.0,0.497,0.531,0.531,2.674,2.735,2.705,0
EDM,2016,EDM,2016021074,2,29,0,20170320,Team Level,all,0.6409,0.4207,0.4842,3600.0,34.876,4.115,2.606,8.48,1.198,17.736,11.866,3.809,4.144,3.835,31.0,15.0,15.0,61.0,2.0,7.0,2.0,6.0,0.0,10.0,21.0,29.0,44.0,4.0,11.0,27.0,26.0,13.0,21.0,32.0,9.0,5.0,1.344,1.113,1.658,0.0,0.0,2.0,63.794,46.0,47.676,17.0,0.576,1.876,1.876,2.814,2.832,2.719,35.467,2.306,2.238,8.983,1.211,20.01,14.25,2.274,2.282,2.25,35.0,14.0,35.0,84.0,0.0,2.0,0.0,9.0,2.0,20.0,16.0,35.0,49.0,5.0,13.0,29.0,28.0,4.0,11.0,40.0,8.0,1.0,1.005,0.914,0.387,0.0,0.0,0.0,80.116,49.0,47.253,7.0,0.489,0.45,0.45,2.345,2.323,2.303,0
OTT,2016,OTT,2016021075,18,24,1,20170321,Team Level,all,0.3391,0.3636,0.3766,3600.0,20.014,1.701,1.235,4.691,0.677,11.445,9.251,1.686,1.816,1.8,22.0,7.0,7.0,36.0,3.0,1.0,1.0,4.0,0.0,10.0,11.0,19.0,26.0,5.0,10.0,31.0,31.0,14.0,9.0,23.0,3.0,3.0,0.464,0.284,0.954,0.0,1.0,2.0,38.11,29.0,30.589,2.0,0.272,0.358,0.358,1.615,1.71,1.7,33.781,3.315,2.539,6.772,1.069,19.611,14.693,3.18,3.194,3.061,36.0,12.0,15.0,63.0,2.0,1.0,0.0,12.0,0.0,19.0,14.0,34.0,46.0,6.0,12.0,36.0,19.0,10.0,15.0,30.0,17.0,1.0,1.041,2.073,0.202,1.0,1.0,0.0,60.18,48.0,45.904,2.0,0.584,0.104,0.104,3.796,3.654,3.505,0
PIT,2016,PIT,2016021076,1,16,1,20170321,Team Level,all,0.5418,0.4954,0.5,3600.0,31.28,2.689,2.262,8.051,1.04,16.797,12.161,2.657,2.851,2.816,35.0,8.0,11.0,54.0,3.0,3.0,0.0,8.0,1.0,7.0,21.0,32.0,40.0,1.0,2.0,25.0,10.0,0.0,8.0,35.0,6.0,2.0,1.057,0.746,0.886,2.0,0.0,1.0,57.479,43.0,45.611,4.0,0.514,0.449,0.449,2.755,2.922,2.902,31.848,2.274,1.964,7.119,0.93,17.199,13.514,2.246,2.16,2.133,30.0,13.0,12.0,55.0,1.0,0.0,0.0,7.0,1.0,14.0,20.0,29.0,42.0,4.0,13.0,35.0,16.0,6.0,4.0,34.0,8.0,1.0,1.176,0.875,0.223,0.0,1.0,0.0,52.722,43.0,41.297,1.0,0.411,0.0,0.0,2.685,2.55,2.519,0
NYR,2016,NYR,2016021077,0,6,1,20170321,Team Level,all,0.6843,0.6239,0.6196,3845.0,42.923,3.664,2.666,9.994,1.424,21.785,17.467,3.377,3.774,3.48,40.0,17.0,11.0,68.0,2.0,3.0,0.0,10.0,2.0,13.0,27.0,38.0,55.0,5.0,16.0,43.0,14.0,4.0,3.0,45.0,10.0,2.0,1.361,1.276,1.027,0.0,1.0,1.0,69.646,57.0,58.301,3.0,0.601,0.587,0.587,3.678,3.799,3.556,25.44,1.69,1.477,6.295,0.806,13.955,10.778,1.681,1.644,1.635,29.0,6.0,6.0,41.0,3.0,1.0,0.0,8.0,1.0,7.0,15.0,26.0,32.0,4.0,14.0,27.0,15.0,6.0,11.0,28.0,6.0,1.0,0.761,0.72,0.209,0.0,2.0,1.0,40.032,35.0,34.174,3.0,0.307,0.04,0.04,1.957,1.902,1.891,0
WSH,2016,WSH,2016021078,19,23,0,20170321,Team Level,all,0.581,0.5082,0.5098,3600.0,37.579,3.505,2.608,8.366,1.159,21.176,15.186,3.355,3.444,3.295,40.0,12.0,10.0,62.0,4.0,3.0,0.0,10.0,5.0,18.0,12.0,36.0,48.0,2.0,4.0,25.0,17.0,7.0,13.0,39.0,9.0,4.0,1.2,1.273,1.033,1.0,2.0,1.0,61.966,52.0,52.065,10.0,0.559,0.538,0.538,3.527,3.468,3.336,35.856,2.528,2.177,8.831,1.174,20.154,15.137,2.468,2.559,2.499,31.0,19.0,10.0,60.0,2.0,1.0,0.0,4.0,2.0,18.0,23.0,29.0,48.0,4.0,8.0,27.0,17.0,6.0,9.0,39.0,8.0,3.0,0.795,1.068,0.665,1.0,1.0,0.0,59.27,50.0,49.436,6.0,0.483,0.254,0.254,2.757,2.781,2.715,0
MTL,2016,MTL,2016021079,13,25,0,20170321,Team Level,all,0.3944,0.5615,0.5464,3850.0,37.434,2.235,2.502,9.835,1.242,21.794,15.391,2.205,2.106,2.077,36.0,17.0,20.0,73.0,1.0,1.0,0.0,8.0,2.0,21.0,20.0,35.0,52.0,1.0,2.0,35.0,32.0,4.0,24.0,47.0,5.0,1.0,1.23,0.713,0.292,1.0,0.0,0.0,68.15,53.0,49.376,20.0,0.531,0.032,0.032,2.734,2.577,2.54,32.502,3.432,2.284,7.866,1.054,16.408,12.956,3.326,3.607,3.495,36.0,8.0,13.0,57.0,2.0,4.0,1.0,10.0,0.0,12.0,16.0,34.0,42.0,3.0,6.0,32.0,25.0,6.0,17.0,34.0,7.0,3.0,1.112,0.919,1.401,1.0,0.0,1.0,61.532,44.0,47.313,17.0,0.548,1.364,1.364,2.616,2.778,2.759,0
T.B,2016,T.B,2016021080,7,17,0,20170321,Team Level,all,0.517,0.64,0.5851,3600.0,38.661,3.265,2.822,8.804,1.234,22.964,15.911,3.185,3.15,3.073,39.0,16.0,25.0,80.0,3.0,4.0,0.0,7.0,2.0,22.0,17.0,36.0,52.0,4.0,8.0,30.0,15.0,2.0,10.0,39.0,15.0,1.0,1.231,1.783,0.252,1.0,2.0,0.0,77.372,55.0,53.537,6.0,0.608,0.682,0.682,3.191,3.088,3.037,28.104,3.05,2.053,6.356,0.845,15.369,11.327,3.007,3.147,3.102,35.0,4.0,6.0,45.0,5.0,0.0,0.0,8.0,0.0,9.0,17.0,30.0,34.0,5.0,10.0,26.0,23.0,6.0,9.0,27.0,9.0,3.0,0.623,1.052,1.374,2.0,2.0,1.0,46.318,39.0,40.05,6.0,0.462,0.0,0.133,3.378,3.485,3.437,0
FLA,2016,FLA,2016021081,15,27,0,20170321,Team Level,all,0.4719,0.5481,0.5375,3600.0,30.317,2.768,2.054,6.793,1.004,17.743,12.639,2.665,2.695,2.594,35.0,8.0,14.0,57.0,3.0,4.0,1.0,9.0,2.0,5.0,20.0,32.0,40.0,3.0,6.0,24.0,19.0,8.0,11.0,30.0,11.0,2.0,0.952,1.166,0.65,0.0,3.0,0.0,56.162,43.0,42.357,6.0,0.447,0.882,0.882,2.333,2.262,2.245,25.224,3.098,1.887,5.42,0.852,14.421,11.322,3.002,3.18,3.082,25.0,12.0,10.0,47.0,4.0,3.0,2.0,5.0,1.0,10.0,14.0,21.0,33.0,5.0,10.0,26.0,22.0,6.0,9.0,27.0,6.0,4.0,0.72,0.845,1.534,0.0,2.0,2.0,48.18,37.0,37.876,2.0,0.43,0.951,0.951,2.577,2.664,2.649,0
MIN,2016,MIN,2016021082,8,28,0,20170321,Team Level,all,0.5761,0.5253,0.5286,3600.0,26.8,2.4,1.974,5.43,0.779,15.086,11.331,2.248,2.382,2.231,27.0,10.0,15.0,52.0,3.0,3.0,0.0,3.0,0.0,10.0,18.0,24.0,34.0,2.0,7.0,28.0,12.0,6.0,4.0,29.0,6.0,2.0,1.041,0.831,0.528,2.0,1.0,0.0,52.588,37.0,37.753,3.0,0.42,0.714,0.714,2.106,2.095,2.046,22.903,1.766,1.602,5.554,0.785,13.727,9.567,1.698,1.781,1.714,23.0,10.0,14.0,47.0,2.0,2.0,0.0,7.0,2.0,7.0,13.0,21.0,31.0,4.0,11.0,23.0,13.0,4.0,0.0,23.0,9.0,1.0,0.429,1.011,0.327,1.0,1.0,0.0,46.292,33.0,32.296,0.0,0.343,0.444,0.444,1.665,1.683,1.671,0
WPG,2016,WPG,2016021083,3,4,0,20170321,Team Level,all,0.6651,0.6087,0.5952,3600.0,35.102,2.794,2.474,7.564,1.094,20.487,15.587,2.746,2.742,2.695,33.0,17.0,20.0,70.0,3.0,0.0,0.0,6.0,0.0,19.0,22.0,30.0,47.0,6.0,12.0,25.0,23.0,6.0,12.0,38.0,10.0,2.0,1.159,1.111,0.524,2.0,1.0,0.0,69.454,50.0,49.676,10.0,0.533,0.0,0.0,3.327,3.266,3.209,24.032,1.407,1.579,5.613,0.757,14.276,10.368,1.397,1.439,1.428,26.0,8.0,11.0,45.0,2.0,0.0,0.0,7.0,1.0,12.0,12.0,24.0,32.0,8.0,18.0,34.0,17.0,5.0,10.0,30.0,3.0,1.0,0.566,0.347,0.495,1.0,1.0,0.0,45.497,34.0,34.324,10.0,0.351,0.0,0.0,1.758,1.798,1.783,0
CHI,2016,CHI,2016021084,21,26,0,20170321,Team Level,all,0.7063,0.7411,0.759,3732.0,43.509,3.954,3.501,9.084,1.445,26.898,18.117,3.791,3.759,3.605,44.0,19.0,20.0,83.0,4.0,3.0,0.0,13.0,2.0,21.0,20.0,40.0,59.0,2.0,4.0,37.0,11.0,9.0,17.0,46.0,14.0,3.0,1.409,1.784,0.761,2.0,2.0,0.0,77.536,63.0,59.119,10.0,0.779,0.465,0.465,4.267,4.074,3.929,14.738,1.644,1.058,3.556,0.487,7.745,5.511,1.611,1.798,1.763,15.0,5.0,9.0,29.0,5.0,2.0,0.0,2.0,0.0,5.0,6.0,10.0,15.0,5.0,10.0,28.0,17.0,4.0,5.0,13.0,5.0,2.0,0.351,0.752,0.541,0.0,4.0,1.0,31.913,20.0,21.937,5.0,0.245,0.326,0.326,1.563,1.705,1.692,0
COL,2016,COL,2016021085,9,14,0,20170321,Team Level,all,0.5832,0.5051,0.4875,3600.0,27.395,2.986,2.01,6.169,0.895,15.827,11.114,2.342,2.957,2.315,28.0,11.0,11.0,50.0,2.0,5.0,0.0,9.0,2.0,11.0,10.0,26.0,37.0,3.0,6.0,36.0,18.0,8.0,3.0,29.0,5.0,5.0,0.874,0.517,1.595,2.0,0.0,0.0,49.477,39.0,39.075,2.0,0.433,1.498,1.498,1.921,1.887,1.689,28.375,2.134,1.93,6.473,0.969,16.459,13.036,2.091,2.22,2.173,29.0,12.0,8.0,49.0,4.0,2.0,1.0,8.0,1.0,6.0,20.0,25.0,37.0,2.0,4.0,22.0,20.0,3.0,2.0,33.0,6.0,2.0,0.745,0.769,0.619,0.0,2.0,2.0,49.821,41.0,41.579,2.0,0.407,0.323,0.323,2.218,2.296,2.279,0
TOR,2016,TOR,2016021086,11,20,1,20170322,Team Level,all,0.5924,0.4583,0.5,3600.0,31.602,3.959,2.41,7.093,0.999,17.241,12.299,3.841,4.201,4.074,32.0,12.0,11.0,55.0,5.0,5.0,2.0,6.0,1.0,13.0,14.0,27.0,39.0,1.0,5.0,35.0,24.0,6.0,6.0,32.0,6.0,6.0,0.84,0.772,2.347,0.0,2.0,3.0,58.735,44.0,47.122,3.0,0.523,1.772,1.772,2.709,2.898,2.832,31.15,2.724,2.322,7.074,0.958,18.191,12.73,2.642,2.6,2.52,34.0,10.0,21.0,65.0,2.0,2.0,1.0,5.0,2.0,15.0,18.0,32.0,42.0,3.0,6.0,21.0,19.0,12.0,5.0,34.0,8.0,2.0,1.067,1.08,0.577,2.0,0.0,0.0,60.931,44.0,41.259,4.0,0.506,0.384,0.384,2.846,2.714,2.631,0
NYR,2016,NYR,2016021087,0,12,0,20170322,Team Level,all,0.4927,0.5726,0.6,3600.0,40.187,3.129,2.69,9.33,1.311,23.779,16.762,3.016,3.038,2.93,36.0,21.0,14.0,71.0,2.0,3.0,0.0,11.0,2.0,20.0,19.0,34.0,55.0,5.0,13.0,34.0,25.0,10.0,13.0,47.0,7.0,3.0,1.394,0.978,0.757,0.0,1.0,1.0,69.338,57.0,55.896,2.0,0.577,0.47,0.47,3.236,3.16,3.066,26.838,3.222,1.825,6.164,0.962,14.07,11.756,3.179,3.277,3.232,28.0,10.0,15.0,53.0,3.0,1.0,1.0,5.0,1.0,15.0,13.0,25.0,35.0,6.0,15.0,36.0,25.0,5.0,11.0,29.0,6.0,3.0,0.806,0.659,1.758,0.0,0.0,3.0,53.371,38.0,38.062,6.0,0.414,0.477,0.477,3.16,3.198,3.153,0
EDM,2016,EDM,2016021088,2,10,1,20170322,Team Level,all,0.4207,0.4677,0.4742,3600.0,31.749,3.021,2.267,7.545,1.057,17.774,14.337,2.911,3.076,2.965,32.0,14.0,12.0,58.0,3.0,2.0,0.0,5.0,1.0,23.0,12.0,29.0,43.0,6.0,12.0,30.0,26.0,5.0,12.0,38.0,4.0,4.0,1.015,0.5,1.506,0.0,2.0,1.0,58.574,46.0,46.857,7.0,0.512,0.369,0.369,3.164,3.228,3.162,36.218,4.16,2.962,8.01,1.308,21.043,13.515,3.77,4.117,3.726,34.0,17.0,15.0,66.0,4.0,5.0,0.0,4.0,1.0,18.0,19.0,30.0,47.0,6.0,12.0,33.0,32.0,9.0,9.0,32.0,15.0,4.0,1.011,1.99,1.159,1.0,3.0,0.0,66.136,51.0,51.35,5.0,0.703,0.969,0.969,3.895,3.845,3.588,0
T.B,2016,T.B,2016021089,7,24,1,20170323,Team Level,all,0.6785,0.5,0.5072,3600.0,24.792,3.761,1.626,5.191,0.841,12.043,11.537,3.65,3.857,3.74,29.0,6.0,12.0,47.0,6.0,2.0,1.0,4.0,0.0,11.0,12.0,23.0,29.0,6.0,12.0,30.0,25.0,14.0,10.0,22.0,9.0,4.0,0.524,1.062,2.176,1.0,1.0,4.0,48.387,35.0,35.964,4.0,0.374,0.532,0.532,3.604,3.685,3.663,24.7,1.782,1.597,5.447,0.744,13.127,11.303,1.758,1.754,1.729,31.0,3.0,13.0,47.0,3.0,0.0,0.0,11.0,4.0,8.0,8.0,28.0,31.0,6.0,12.0,43.0,26.0,14.0,16.0,25.0,9.0,0.0,0.762,1.02,0.0,0.0,3.0,0.0,45.819,34.0,33.31,6.0,0.358,0.0,0.0,2.14,2.103,2.075,0
WSH,2016,WSH,2016021090,19,20,0,20170323,Team Level,all,0.5643,0.6496,0.6182,3900.0,48.557,3.687,3.303,11.864,1.597,27.557,19.993,3.558,3.549,3.425,45.0,23.0,21.0,89.0,1.0,5.0,0.0,16.0,1.0,21.0,24.0,44.0,67.0,3.0,6.0,32.0,17.0,5.0,10.0,50.0,17.0,1.0,1.448,2.028,0.21,1.0,0.0,0.0,86.34,68.0,66.058,6.0,0.711,0.795,0.795,3.602,3.473,3.397,30.623,2.847,2.079,6.752,0.901,15.727,13.694,2.612,2.961,2.711,30.0,12.0,6.0,48.0,1.0,4.0,1.0,4.0,0.0,11.0,22.0,29.0,41.0,4.0,8.0,34.0,29.0,7.0,8.0,31.0,6.0,5.0,0.788,0.746,1.313,0.0,0.0,1.0,49.191,42.0,42.954,7.0,0.483,1.077,1.077,2.252,2.332,2.269,0
N.J,2016,N.J,2016021091,6,11,1,20170323,Team Level,all,0.5775,0.4722,0.5,3600.0,31.813,5.338,1.977,6.631,0.988,17.081,11.985,3.89,5.349,3.902,32.0,12.0,7.0,51.0,2.0,0.0,0.0,3.0,2.0,15.0,22.0,30.0,42.0,5.0,13.0,24.0,40.0,8.0,10.0,30.0,6.0,8.0,0.72,0.718,3.899,1.0,0.0,1.0,50.348,44.0,43.449,5.0,0.51,0.0,0.0,5.847,5.861,4.366,29.955,3.905,1.85,6.641,1.021,17.587,12.996,3.699,3.91,3.704,30.0,14.0,13.0,57.0,4.0,2.0,2.0,5.0,0.0,17.0,16.0,26.0,40.0,7.0,17.0,35.0,20.0,16.0,3.0,31.0,10.0,3.0,1.254,1.018,1.633,1.0,0.0,3.0,58.531,44.0,44.851,1.0,0.399,0.692,0.692,3.612,3.611,3.527,0
MTL,2016,MTL,2016021092,13,27,0,20170323,Team Level,all,0.3511,0.466,0.5211,3600.0,26.808,1.903,1.754,6.506,0.862,15.107,10.866,1.874,1.811,1.783,22.0,15.0,11.0,48.0,1.0,1.0,0.0,4.0,3.0,10.0,18.0,21.0,36.0,2.0,4.0,21.0,37.0,12.0,22.0,30.0,4.0,3.0,0.665,0.551,0.688,0.0,1.0,0.0,45.419,37.0,35.205,18.0,0.364,0.246,0.246,2.021,1.919,1.894,23.371,3.517,1.664,5.347,0.792,13.188,9.492,3.452,3.645,3.58,23.0,11.0,21.0,55.0,4.0,0.0,0.0,10.0,0.0,10.0,10.0,19.0,30.0,1.0,2.0,39.0,35.0,5.0,9.0,22.0,7.0,5.0,0.603,0.923,1.991,1.0,1.0,2.0,57.756,34.0,35.488,8.0,0.371,0.0,0.0,3.888,4.034,3.957,0
PIT,2016,PIT,2016021093,1,18,1,20170323,Team Level,all,0.5006,0.5508,0.5465,3900.0,33.472,3.229,2.116,8.417,1.062,18.274,13.901,3.133,3.315,3.217,35.0,12.0,18.0,65.0,1.0,1.0,0.0,12.0,1.0,13.0,19.0,34.0,46.0,4.0,8.0,23.0,21.0,7.0,9.0,38.0,4.0,5.0,1.062,0.457,1.711,0.0,0.0,1.0,67.544,47.0,48.885,3.0,0.508,0.306,0.306,3.431,3.522,3.425,28.111,3.221,1.767,7.067,0.983,13.683,12.279,3.009,3.024,2.829,30.0,9.0,14.0,53.0,1.0,4.0,0.0,7.0,0.0,10.0,17.0,29.0,38.0,4.0,10.0,42.0,30.0,4.0,15.0,27.0,4.0,8.0,0.758,0.457,2.007,1.0,0.0,0.0,50.41,39.0,37.063,9.0,0.377,1.125,1.125,2.473,2.345,2.314,0
FLA,2016,FLA,2016021094,15,17,0,20170323,Team Level,all,0.6963,0.6381,0.6404,3600.0,41.635,4.328,3.146,9.701,1.467,22.484,15.875,4.027,4.116,3.833,39.0,18.0,10.0,67.0,3.0,6.0,1.0,11.0,1.0,14.0,22.0,36.0,54.0,0.0,0.0,28.0,20.0,13.0,8.0,38.0,15.0,4.0,1.479,1.795,1.054,2.0,0.0,1.0,65.592,57.0,55.62,5.0,0.659,1.003,1.306,3.681,3.516,3.392,23.232,1.888,1.663,5.18,0.733,12.938,9.598,1.839,2.019,1.964,23.0,9.0,6.0,38.0,1.0,2.0,0.0,8.0,1.0,10.0,10.0,22.0,31.0,0.0,0.0,34.0,19.0,9.0,11.0,23.0,7.0,2.0,0.666,0.735,0.488,0.0,0.0,1.0,39.768,32.0,33.612,6.0,0.342,0.287,0.287,1.944,2.067,2.051,0
STL,2016,STL,2016021095,14,26,0,20170323,Team Level,all,0.6024,0.5607,0.5065,3600.0,29.036,3.264,2.082,5.871,0.906,15.625,11.251,3.125,3.189,3.054,34.0,5.0,21.0,60.0,4.0,2.0,1.0,9.0,1.0,15.0,8.0,30.0,35.0,5.0,13.0,29.0,26.0,9.0,2.0,22.0,14.0,3.0,0.634,1.419,1.211,0.0,2.0,2.0,59.895,39.0,38.936,2.0,0.442,0.338,0.338,3.368,3.299,3.225,27.331,2.154,1.864,6.309,0.81,15.674,11.189,2.127,2.194,2.167,28.0,10.0,9.0,47.0,1.0,0.0,0.0,8.0,2.0,12.0,15.0,27.0,37.0,4.0,11.0,34.0,13.0,4.0,3.0,30.0,7.0,1.0,0.696,0.769,0.689,0.0,1.0,0.0,46.881,38.0,38.305,3.0,0.423,0.0,0.0,2.576,2.626,2.594,0
